"","sciname","fbname","common"
"1840","Conus vexillum","vexillum cone","vexillum cone"
"1841","Conus tulipa","fish hunting cone snail","fish hunting cone snail"
"1842","Conus cylindraceus","cylindrical cone","cylindrical cone"
"1843","Conus musicus","music cone","music cone"
"1844","Conus patae","sunrise cone","sunrise cone"
"1845","Conus ceruttii","null","null"
"1846","Conus planorbis","ringed cone","ringed cone"
"1847","Conus quercinus","oak cone","oak cone"
"1848","Conus auricomus","null","null"
"1849","Conus omaria","omaria cone","omaria cone"
"1850","Conus caracteristicus","characteristic cone","characteristic cone"
"1851","Conus centurio","null","null"
"1852","Conus archon","null","null"
"1853","Conus legatus","ambassador cone","ambassador cone"
"1854","Conus lividus","livid cone","livid cone"
"1855","Conus consors","singed cone","singed cone"
"1856","Conus balteatus","belted cone","belted cone"
"1857","Conus virgo","virgin cone","virgin cone"
"1858","Conus regius","crown cone","crown cone"
"1859","Conus arenatus","sand-dusted cone","sand-dusted cone"
"1860","Conus cardinalis","null","null"
"1861","Conus pertusus","lovely cone","lovely cone"
"1862","Albula argentea","Longjaw bonefish","Longjaw bonefish"
"1863","Albula glossodonta","Roundjaw bonefish","Roundjaw bonefish"
"1864","Albula oligolepis","Smallscale bonefish","Smallscale bonefish"
"1865","Pterothrissus belloci","Longfin bonefish","Longfin bonefish"
"1866","Pterothrissus gissu","Japanese gissu","Japanese gissu"
"1867","Elops hawaiensis","Hawaiian ladyfish","Hawaiian ladyfish"
"1868","Elops senegalensis","Senegalese ladyfish","Senegalese ladyfish"
"1869","Microlipophrys dalmatinus","null","null"
"1870","Microlipophrys nigriceps","Black-headed blenny","Black-headed blenny"
"1871","Parablennius rouxi","null","null"
"1872","Salaria basilisca","null","null"
"1873","Epinephelus chabaudi","Moustache grouper","Moustache grouper"
"1874","Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper"
"1875","Meiacanthus anema","Threadless blenny","Threadless blenny"
"1876","Omox biporos","Omox blenny","Omox blenny"
"1877","Neophocaena phocaenoides","finless porpoise","finless porpoise"
"1878","Holothuria fuscogilva","white teeth","white teeth"
"1879","Diplodus cervinus","Zebra seabream","Zebra seabream"
"1880","Lagocephalus sceleratus","Silver-cheeked toadfish","Silver-cheeked toadfish"
"1881","Takifugu ocellatus","null","null"
"1882","Panulirus femoristriga","stripe-leg spiny lobster","stripe-leg spiny lobster"
"1883","Acanthopagrus schlegelii","Blackhead seabream","Blackhead seabream"
"1884","Archosargus rhomboidalis","Western Atlantic seabream","Western Atlantic seabream"
"1885","Dentex spariformis","Saffronfin sea bream","Saffronfin sea bream"
"1886","Dentex angolensis","Angolan dentex","Angolan dentex"
"1887","Pagrus caeruleostictus","Bluespotted seabream","Bluespotted seabream"
"1888","Lithognathus mormyrus","Sand steenbras","Sand steenbras"
"1889","Pagellus bellottii","Red pandora","Red pandora"
"1890","Rhabdosargus thorpei","Bigeye stumpnose","Bigeye stumpnose"
"1891","Rhabdosargus haffara","Haffara seabream","Haffara seabream"
"1892","Dentex maroccanus","Morocco dentex","Morocco dentex"
"1893","Pagrus major","Red seabream","Red seabream"
"1894","Stenotomus chrysops","Scup","Scup"
"1895","Sarpa salpa","Salema","Salema"
"1896","Spondyliosoma emarginatum","Steentjie seabream","Steentjie seabream"
"1897","Sparidentex hasta","Sobaity seabream","Sobaity seabream"
"1898","Dentex abei","Yellowfin sea bream","Yellowfin sea bream"
"1899","Calamus nodosus","Knobbed porgy","Knobbed porgy"
"1900","Acanthopagrus chinshira","Okinawan yellow-fin seabream","Okinawan yellow-fin seabream"
"1901","Stenotomus caprinus","Longspine porgy","Longspine porgy"
"1902","Acanthopagrus palmaris","North west black bream","North west black bream"
"1903","Calamus proridens","Littlehead porgy","Littlehead porgy"
"1904","Chrysoblephus cristiceps","Daggerhead seabream","Daggerhead seabream"
"1905","Polysteganus praeorbitalis","Scotsman seabream","Scotsman seabream"
"1906","Dentex gibbosus","Pink dentex","Pink dentex"
"1907","Calamus campechanus","Campeche porgy","Campeche porgy"
"1908","Acanthopagrus butcheri","Southern black bream","Southern black bream"
"1909","Calamus bajonado","Jolthead porgy","Jolthead porgy"
"1910","Argyrops bleekeri","Taiwan tai","Taiwan tai"
"1911","Dentex canariensis","Canary dentex","Canary dentex"
"1912","Chrysoblephus anglicus","Englishman seabream","Englishman seabream"
"1913","Oblada melanura","Saddled seabream","Saddled seabream"
"1914","Rhabdosargus sarba","Goldlined seabream","Goldlined seabream"
"1915","Pachymetopon aeneum","Blue hottentot","Blue hottentot"
"1916","Rhabdosargus holubi","Cape stumpnose","Cape stumpnose"
"1917","Cymatoceps nasutus","Black musselcracker","Black musselcracker"
"1918","Calamus pennatula","Pluma porgy","Pluma porgy"
"1919","Calamus penna","Sheepshead porgy","Sheepshead porgy"
"1920","Pachymetopon grande","Bronze seabream","Bronze seabream"
"1921","Pterogymnus laniarius","Panga seabream","Panga seabream"
"1922","Diplodus noct","Red Sea seabream","Red Sea seabream"
"1923","Polysteganus coeruleopunctatus","Blueskin seabream","Blueskin seabream"
"1924","Crenidens crenidens","Karanteen seabream","Karanteen seabream"
"1925","Boopsoidea inornata","Fransmadam","Fransmadam"
"1926","Pagrus auriga","Redbanded seabream","Redbanded seabream"
"1927","Cheimerius nufar","Santer seabream","Santer seabream"
"1928","Diplodus bellottii","Senegal seabream","Senegal seabream"
"1929","Archosargus probatocephalus","Sheepshead","Sheepshead"
"1930","Pagellus erythrinus","Common pandora","Common pandora"
"1931","Rhabdosargus globiceps","White stumpnose","White stumpnose"
"1932","Sparodon durbanensis","Musselcracker seabream","Musselcracker seabream"
"1933","Dentex fourmanoiri","null","null"
"1934","Pagellus acarne","Axillary seabream","Axillary seabream"
"1935","Argyrozona argyrozona","Carpenter seabream","Carpenter seabream"
"1936","Dentex macrophthalmus","Large-eye dentex","Large-eye dentex"
"1937","Calamus leucosteus","Whitebone porgy","Whitebone porgy"
"1938","Argyrops spinifer","King soldier bream","King soldier bream"
"1939","Acanthopagrus bifasciatus","Twobar seabream","Twobar seabream"
"1940","Pagrus africanus","Southern common seabream","Southern common seabream"
"1941","Pagellus bogaraveo","Blackspot seabream","Blackspot seabream"
"1942","Dentex dentex","Common dentex","Common dentex"
"1943","Virididentex acromegalus","Bulldog dentex","Bulldog dentex"
"1944","Petrus rupestris","Red steenbras","Red steenbras"
"1945","Polyamblyodon germanum","German seabream","German seabream"
"1946","Calamus calamus","Saucereye porgy","Saucereye porgy"
"1947","Lagodon rhomboides","Pinfish","Pinfish"
"1948","Boops boops","Bogue","Bogue"
"1949","Argyrops filamentosus","Soldierbream","Soldierbream"
"1950","Sparus aurata","Gilthead seabream","Gilthead seabream"
"1951","Chrysoblephus gibbiceps","Red stumpnose seabream","Red stumpnose seabream"
"1952","Acanthopagrus australis","Surf bream","Surf bream"
"1953","Spondyliosoma cantharus","Black seabream","Black seabream"
"1954","Chrysoblephus puniceus","Slinger seabream","Slinger seabream"
"1955","Diplodus annularis","Annular seabream","Annular seabream"
"1956","Diplodus vulgaris","Common two-banded seabream","Common two-banded seabream"
"1957","Diplodus puntazzo","Sharpsnout seabream","Sharpsnout seabream"
"1958","Acanthopagrus latus","Yellowfin seabream","Yellowfin seabream"
"1959","Diplodus holbrookii","Spottail seabream","Spottail seabream"
"1960","Polysteganus baissaci","Frenchman seabream","Frenchman seabream"
"1961","Acanthopagrus berda","Goldsilk seabream","Goldsilk seabream"
"1962","Diplodus omanensis","Oman porgy","Oman porgy"
"1963","Omobranchus zebra","null","null"
"1964","Chelonodon patoca","Milkspotted puffer","Milkspotted puffer"
"1965","Entomacrodus vermiculatus","Vermiculated blenny","Vermiculated blenny"
"1966","Omobranchus punctatus","Muzzled blenny","Muzzled blenny"
"1967","Halophila spinulosa","fern seagrass","fern seagrass"
"1968","Thalassia testudinum","turtle grass","turtle grass"
"1969","Halophila decipiens","null","null"
"1970","Halodule wrightii","null","null"
"1971","Thalassodendron ciliatum","null","null"
"1972","Syringodium filiforme","null","null"
"1973","Conocarpus erectus","null","null"
"1974","Avicennia germinans","null","null"
"1975","Holothuria coronopertusa","null","null"
"1976","Blennius ocellaris","Butterfly blenny","Butterfly blenny"
"1977","Lipophrys trigloides","null","null"
"1978","Spaniblennius riodourensis","null","null"
"1979","Parablennius salensis","null","null"
"1980","Parablennius dialloi","null","null"
"1981","Parablennius sierraensis","null","null"
"1982","Hypleurochilus aequipinnis","Oyster blenny","Oyster blenny"
"1983","Parablennius verryckeni","null","null"
"1984","Hypleurochilus fissicornis","null","null"
"1985","Parablennius goreensis","null","null"
"1986","Microlipophrys canevae","null","null"
"1987","Parablennius ruber","Portuguese blenny","Portuguese blenny"
"1988","Coryphoblennius galerita","Montagu's blenny","Montagu's blenny"
"1989","Aidablennius sphynx","null","null"
"1990","Hypleurochilus langi","null","null"
"1991","Salaria pavo","Peacock blenny","Peacock blenny"
"1992","Bathyblennius antholops","null","null"
"1993","Lipophrys pholis","Shanny","Shanny"
"1994","Parablennius incognitus","null","null"
"1995","Blennius normani","null","null"
"1996","Parablennius tentacularis","Tentacled blenny","Tentacled blenny"
"1997","Ophioblennius trinitatis","null","null"
"1998","Parablennius sanguinolentus","Rusty blenny","Rusty blenny"
"1999","Chromis enchrysura","Yellowtail reeffish","Yellowtail reeffish"
"2000","Chromis chromis","Damselfish","Damselfish"
"2001","Chromis cadenati","Cadenat's chromis","Cadenat's chromis"
"2002","Abudefduf luridus","Canary damsel","Canary damsel"
"2003","Chrysiptera unimaculata","Onespot demoiselle","Onespot demoiselle"
"2004","Abudefduf taurus","Night sergeant","Night sergeant"
"2005","Chromis scotti","Purple reeffish","Purple reeffish"
"2006","Stegastes otophorus","Freshwater gregory","Freshwater gregory"
"2007","Chromis limbata","Azores chromis","Azores chromis"
"2008","Stegastes planifrons","Threespot damselfish","Threespot damselfish"
"2009","Stegastes partitus","Bicolor damselfish","Bicolor damselfish"
"2010","Stegastes adustus","Dusky damselfish","Dusky damselfish"
"2011","Stegastes leucostictus","Beaugregory","Beaugregory"
"2012","Abudefduf saxatilis","Sergeant-major","Sergeant-major"
"2013","Stegastes imbricatus","Cape Verde gregory","Cape Verde gregory"
"2014","Stegastes diencaeus","Longfin damselfish","Longfin damselfish"
"2015","Chromis multilineata","Brown chromis","Brown chromis"
"2016","Microspathodon chrysurus","Yellowtail damselfish","Yellowtail damselfish"
"2017","Microspathodon frontatus","Guinean damselfish","Guinean damselfish"
"2018","Chromis insolata","Sunshinefish","Sunshinefish"
"2019","Canthigaster figueiredoi","Southern Atlantic sharpnose-puffer","Southern Atlantic sharpnose-puffer"
"2020","Sphoeroides pachygaster","Blunthead puffer","Blunthead puffer"
"2021","Sphoeroides maculatus","Northern puffer","Northern puffer"
"2022","Lagocephalus laevigatus","Smooth puffer","Smooth puffer"
"2023","Lagocephalus lagocephalus","Oceanic puffer","Oceanic puffer"
"2024","Conus vicweei","null","null"
"2025","Takifugu vermicularis","Purple puffer","Purple puffer"
"2026","Arothron caeruleopunctatus","Blue-spotted puffer","Blue-spotted puffer"
"2027","Takifugu bimaculatus","null","null"
"2028","Sphoeroides parvus","Least puffer","Least puffer"
"2029","Takifugu rubripes","Japanese pufferfish","Japanese pufferfish"
"2030","Torquigener vicinus","null","null"
"2031","Torquigener hypselogeneion","Orange-spotted toadfish","Orange-spotted toadfish"
"2032","Lagocephalus spadiceus","Half-smooth golden pufferfish","Half-smooth golden pufferfish"
"2033","Canthigaster papua","Papuan toby","Papuan toby"
"2034","Takifugu reticularis","null","null"
"2035","Lagocephalus suezensis","null","null"
"2036","Sphoeroides spengleri","Bandtail puffer","Bandtail puffer"
"2037","Contusus brevicaudus","null","null"
"2038","Sphoeroides greeleyi","Green puffer","Green puffer"
"2039","Torquigener pleurogramma","Weeping toado","Weeping toado"
"2040","Torquigener andersonae","Anderson's toadfish","Anderson's toadfish"
"2041","Canthigaster axiologus","Pacific crown toby","Pacific crown toby"
"2042","Colomesus psittacus","Banded puffer","Banded puffer"
"2043","Canthigaster margaritata","null","null"
"2044","Canthigaster bennetti","Bennett's sharpnose puffer","Bennett's sharpnose puffer"
"2045","Takifugu exascurus","null","null"
"2046","Torquigener gloerfelti","null","null"
"2047","Tetractenos glaber","Smooth toadfish","Smooth toadfish"
"2048","Arothron meleagris","Guineafowl puffer","Guineafowl puffer"
"2049","Canthigaster jactator","Hawaiian whitespotted toby","Hawaiian whitespotted toby"
"2050","Lagocephalus lunaris","Lunartail puffer","Lunartail puffer"
"2051","Takifugu flavidus","Yellowbelly pufferfish","Yellowbelly pufferfish"
"2052","Takifugu porphyreus","null","null"
"2053","Canthigaster compressa","Compressed toby","Compressed toby"
"2054","Torquigener paxtoni","null","null"
"2055","Arothron mappa","Map puffer","Map puffer"
"2056","Torquigener parcuspinus","Yellow-eyed toadfish","Yellow-eyed toadfish"
"2057","Canthigaster amboinensis","Spider-eye puffer","Spider-eye puffer"
"2058","Omegophora armilla","Ringed toadfish","Ringed toadfish"
"2059","Feroxodon multistriatus","Manystriped blowfish","Manystriped blowfish"
"2060","Torquigener pallimaculatus","null","null"
"2061","Marilyna pleurosticta","null","null"
"2062","Torquigener randalli","Randall's puffer","Randall's puffer"
"2063","Takifugu pardalis","null","null"
"2064","Canthigaster natalensis","Natal toby","Natal toby"
"2065","Takifugu chrysops","null","null"
"2066","Canthigaster pygmaea","Pygmy toby","Pygmy toby"
"2067","Sphoeroides tyleri","Bearded puffer","Bearded puffer"
"2068","Arothron hispidus","White-spotted puffer","White-spotted puffer"
"2069","Torquigener flavimaculosus","null","null"
"2070","Torquigener altipinnis","null","null"
"2071","Canthigaster rivulata","Brown-lined puffer","Brown-lined puffer"
"2072","Canthigaster callisterna","Clown toado","Clown toado"
"2073","Canthigaster smithae","Bicolored toby","Bicolored toby"
"2074","Arothron stellatus","Stellate puffer","Stellate puffer"
"2075","Arothron reticularis","Reticulated pufferfish","Reticulated pufferfish"
"2076","Lagocephalus inermis","Smooth blaasop","Smooth blaasop"
"2077","Lagocephalus guentheri","Diamondback puffer","Diamondback puffer"
"2078","Arothron diadematus","Masked puffer","Masked puffer"
"2079","Canthigaster ocellicincta","Shy toby","Shy toby"
"2080","Canthigaster jamestyleri","Goldface toby","Goldface toby"
"2081","Canthigaster epilampra","Lantern toby","Lantern toby"
"2082","Torquigener hicksi","Hick's toadfish","Hick's toadfish"
"2083","Torquigener perlevis","Spineless toadfish","Spineless toadfish"
"2084","Chelonodon laticeps","Bluespotted blaasop","Bluespotted blaasop"
"2085","Amblyrhynchotes honckenii","Evileye blaasop","Evileye blaasop"
"2086","Canthigaster coronata","Crowned puffer","Crowned puffer"
"2087","Ephippion guttifer","Prickly puffer","Prickly puffer"
"2088","Sphoeroides dorsalis","Marbled puffer","Marbled puffer"
"2089","Torquigener squamicauda","Brush-tail toadfish","Brush-tail toadfish"
"2090","Sphoeroides nephelus","Southern puffer","Southern puffer"
"2091","Canthigaster janthinoptera","Honeycomb toby","Honeycomb toby"
"2092","Tylerius spinosissimus","Spiny blaasop","Spiny blaasop"
"2093","Sphoeroides marmoratus","Guinean puffer","Guinean puffer"
"2094","Takifugu stictonotus","null","null"
"2095","Canthigaster solandri","Spotted sharpnose","Spotted sharpnose"
"2096","Takifugu snyderi","null","null"
"2097","Torquigener whitleyi","Whitley's toadfish","Whitley's toadfish"
"2098","Tetractenos hamiltoni","null","null"
"2099","Marilyna darwinii","null","null"
"2100","Arothron inconditus","Bellystriped blaasop","Bellystriped blaasop"
"2101","Takifugu alboplumbeus","null","null"
"2102","Contusus richei","Prickly toadfish","Prickly toadfish"
"2103","Canthigaster rostrata","Caribbean sharpnose-puffer","Caribbean sharpnose-puffer"
"2104","Canthigaster valentini","Valentin's sharpnose puffer","Valentin's sharpnose puffer"
"2105","Canthigaster cyanospilota","Blue-spotted toby","Blue-spotted toby"
"2106","Omegophora cyanopunctata","null","null"
"2107","Arothron nigropunctatus","Blackspotted puffer","Blackspotted puffer"
"2108","Arothron immaculatus","Immaculate puffer","Immaculate puffer"
"2109","Takifugu pseudommus","null","null"
"2110","Takifugu oblongus","Lattice blaasop","Lattice blaasop"
"2111","Sphoeroides testudineus","Checkered puffer","Checkered puffer"
"2112","Canthigaster tyleri","Tyler's toby","Tyler's toby"
"2113","Arothron firmamentum","Starry toado","Starry toado"
"2114","Hypleurochilus caudovittatus","Zebratail blenny","Zebratail blenny"
"2115","Hypleurochilus multifilis","Featherduster blenny","Featherduster blenny"
"2116","Scartella cristata","Molly miller","Molly miller"
"2117","Parablennius pilicornis","Ringneck blenny","Ringneck blenny"
"2118","Petroscirtes ancylodon","Arabian fangblenny","Arabian fangblenny"
"2119","Alticus kirkii","Kirk's blenny","Kirk's blenny"
"2120","Antennablennius adenensis","Aden blenny","Aden blenny"
"2121","Antennablennius australis","Moustached rockskipper","Moustached rockskipper"
"2122","Antennablennius bifilum","Horned rockskipper","Horned rockskipper"
"2123","Antennablennius hypenetes","Arabian blenny","Arabian blenny"
"2124","Antennablennius variopunctatus","Orangedotted blenny","Orangedotted blenny"
"2125","Blenniella periophthalmus","Blue-dashed rockskipper","Blue-dashed rockskipper"
"2126","Hirculops cornifer","Highbrow rockskipper","Highbrow rockskipper"
"2127","Istiblennius edentulus","Rippled rockskipper","Rippled rockskipper"
"2128","Istiblennius pox","Scarface rockskipper","Scarface rockskipper"
"2129","Mimoblennius cirrosus","Fringed blenny","Fringed blenny"
"2130","Parablennius opercularis","Cheekspot blenny","Cheekspot blenny"
"2131","Parablennius thysanius","Tasseled blenny","Tasseled blenny"
"2132","Pereulixia kosiensis","Kosi rockskipper","Kosi rockskipper"
"2133","Petroscirtes mitratus","Floral blenny","Floral blenny"
"2134","Plagiotremus townsendi","Townsend's fangblenny","Townsend's fangblenny"
"2135","Xiphasia setifer","Hairtail blenny","Hairtail blenny"
"2136","Chasmodes saburrae","Florida blenny","Florida blenny"
"2137","Entomacrodus nigricans","Pearl blenny","Pearl blenny"
"2138","Hypleurochilus bermudensis","Barred blenny","Barred blenny"
"2139","Hypleurochilus springeri","Orangespotted blenny","Orangespotted blenny"
"2140","Hypsoblennius hentz","Feather blenny","Feather blenny"
"2141","Ophioblennius macclurei","Redlip blenny","Redlip blenny"
"2142","Parablennius marmoreus","Seaweed blenny","Seaweed blenny"
"2143","Archosargus pourtalesii","Blackspot porgy","Blackspot porgy"
"2144","Calamus brachysomus","Pacific porgy","Pacific porgy"
"2145","Calamus taurinus","Galapagos porgy","Galapagos porgy"
"2146","Chasmodes bosquianus","Striped blenny","Striped blenny"
"2147","Hypleurochilus geminatus","Crested blenny","Crested blenny"
"2148","Hypleurochilus pseudoaequipinnis","null","null"
"2149","Acanthopagrus arabicus","Arabian yellowfin seabream","Arabian yellowfin seabream"
"2150","Alloblennius anuchalis","null","null"
"2151","Alloblennius jugularis","Jugular blenny","Jugular blenny"
"2152","Alloblennius parvus","Dwarf blenny","Dwarf blenny"
"2153","Alloblennius pictus","null","null"
"2154","Alticus monochrus","null","null"
"2155","Alticus montanoi","Montano's Rockskipper","Montano's Rockskipper"
"2156","Alticus saliens","Leaping blenny","Leaping blenny"
"2157","Cirripectes obscurus","Gargantuan blenny","Gargantuan blenny"
"2158","Meiacanthus atrodorsalis","Forktail blenny","Forktail blenny"
"2159","Plagiotremus ewaensis","Ewa blenny","Ewa blenny"
"2160","Meiacanthus tongaensis","null","null"
"2161","Cirripectes randalli","null","null"
"2162","Cirripectes auritus","Blackflap blenny","Blackflap blenny"
"2163","Parablennius cornutus","null","null"
"2164","Salarias fasciatus","Jewelled blenny","Jewelled blenny"
"2165","Blenniella chrysospilos","Red-spotted blenny","Red-spotted blenny"
"2166","Cirripectes fuscoguttatus","Spotted blenny","Spotted blenny"
"2167","Praealticus triangulus","Triangle-crest rockskipper","Triangle-crest rockskipper"
"2168","Blenniella leopardus","Leopard blenniella","Leopard blenniella"
"2169","Blenniella paula","Bluedash rockskipper","Bluedash rockskipper"
"2170","Salarias guttatus","Breast-spot blenny","Breast-spot blenny"
"2171","Istiblennius flaviumbrinus","null","null"
"2172","Istiblennius bellus","Imspringer","Imspringer"
"2173","Exallias brevis","Leopard blenny","Leopard blenny"
"2174","Ecsenius pictus","White-lined comb-tooth","White-lined comb-tooth"
"2175","Enchelyurus brunneolus","null","null"
"2176","Meiacanthus grammistes","Striped poison-fang blenny","Striped poison-fang blenny"
"2177","Meiacanthus limbatus","Manus fangblenny","Manus fangblenny"
"2178","Enchelyurus ater","Black blenny","Black blenny"
"2179","Ecsenius sellifer","Saddle blenny","Saddle blenny"
"2180","Meiacanthus mossambicus","Mozambique fangblenny","Mozambique fangblenny"
"2181","Aspidontus tractus","null","null"
"2182","Omobranchus obliquus","Roundhead blenny","Roundhead blenny"
"2183","Ecsenius oculatus","Ocular coralblenny","Ocular coralblenny"
"2184","Omobranchus germaini","Germain's blenny","Germain's blenny"
"2185","Ecsenius monoculus","Monocle coralblenny","Monocle coralblenny"
"2186","Mimoblennius atrocinctus","Spotted and barred blenny","Spotted and barred blenny"
"2187","Entomacrodus marmoratus","Rockskipper","Rockskipper"
"2188","Ecsenius shirleyae","Shirley's coralblenny","Shirley's coralblenny"
"2189","Omox lupus","Wolf blenny","Wolf blenny"
"2190","Cirripectes gilberti","Gilbert's blenny","Gilbert's blenny"
"2191","Ecsenius bimaculatus","Twinspot coralblenny","Twinspot coralblenny"
"2192","Meiacanthus geminatus","Twin fangblenny","Twin fangblenny"
"2193","Praealticus oortii","Java rockskipper","Java rockskipper"
"2194","Petroscirtes variabilis","Variable sabretooth blenny","Variable sabretooth blenny"
"2195","Petroscirtes fallax","Deceiver fangbelly","Deceiver fangbelly"
"2196","Ecsenius fijiensis","null","null"
"2197","Ecsenius paroculus","Spottedback coralblenny","Spottedback coralblenny"
"2198","Entomacrodus niuafoouensis","Tattoo-chin rockskipper","Tattoo-chin rockskipper"
"2199","Ecsenius schroederi","Schroeder's coralblenny","Schroeder's coralblenny"
"2200","Ecsenius prooculis","Striped coralblenny","Striped coralblenny"
"2201","Meiacanthus reticulatus","Reticulated fangblenny","Reticulated fangblenny"
"2202","Andamia heteroptera","East Indian lipsucker","East Indian lipsucker"
"2203","Cirripectes stigmaticus","Red-streaked blenny","Red-streaked blenny"
"2204","Entomacrodus striatus","Reef margin blenny","Reef margin blenny"
"2205","Praealticus bilineatus","White-dotted rockskipper","White-dotted rockskipper"
"2206","Blenniella bilitonensis","Biliton blenniella","Biliton blenniella"
"2207","Parablennius tasmanianus","Tasmanian blenny","Tasmanian blenny"
"2208","Petroscirtes breviceps","Striped poison-fang blenny mimic","Striped poison-fang blenny mimic"
"2209","Praealticus caesius","Blackmargin rockskipper","Blackmargin rockskipper"
"2210","Enchelyurus flavipes","Yellowfin blenny","Yellowfin blenny"
"2211","Ecsenius lubbocki","Lubbock's coralblenny","Lubbock's coralblenny"
"2212","Ecsenius pardus","null","null"
"2213","Xiphasia matsubarai","Japanese snake blenny","Japanese snake blenny"
"2214","Ecsenius bandanus","Banda comb-tooth","Banda comb-tooth"
"2215","Atrosalarias fuscus","null","null"
"2216","Cirripectes polyzona","null","null"
"2217","Ecsenius lividanalis","Blackspot coralblenny","Blackspot coralblenny"
"2218","Meiacanthus luteus","Yellow fangbelly","Yellow fangbelly"
"2219","Salarias patzneri","Patzner's blenny","Patzner's blenny"
"2220","Parablennius cyclops","null","null"
"2221","Ecsenius stictus","Great Barrier Reef blenny","Great Barrier Reef blenny"
"2222","Meiacanthus vicinus","Sulawesi fangblenny","Sulawesi fangblenny"
"2223","Entomacrodus thalassinus","Sea blenny","Sea blenny"
"2224","Ecsenius stigmatura","Tailspot coralblenny","Tailspot coralblenny"
"2225","Istiblennius muelleri","Mueller's rockskipper","Mueller's rockskipper"
"2226","Cirripectes perustus","Flaming blenny","Flaming blenny"
"2227","Cirripectes alboapicalis","Blackblotch blenny","Blackblotch blenny"
"2228","Ecsenius bathi","Bath's comb-tooth","Bath's comb-tooth"
"2229","Ecsenius gravieri","Red Sea mimic blenny","Red Sea mimic blenny"
"2230","Cirrisalarias bunares","Hairy bleny","Hairy bleny"
"2231","Praealticus striatus","Striated rockskipper","Striated rockskipper"
"2232","Mimoblennius rusi","Rusi blenny","Rusi blenny"
"2233","Stanulus seychellensis","Seychelle's blenny","Seychelle's blenny"
"2234","Meiacanthus ditrema","One-striped poison-fang blenny","One-striped poison-fang blenny"
"2235","Blenniella cyanostigma","Striped rockskipper","Striped rockskipper"
"2236","Petroscirtes thepassii","Thepas' sabretooth blenny","Thepas' sabretooth blenny"
"2237","Cirripectes chelomatus","Lady Musgrave blenny","Lady Musgrave blenny"
"2238","Cirripectes jenningsi","null","null"
"2239","Ecsenius aequalis","Fourline blenny","Fourline blenny"
"2240","Petroscirtes xestus","Xestus sabretooth blenny","Xestus sabretooth blenny"
"2241","Omobranchus elongatus","Cloister blenny","Cloister blenny"
"2242","Stanulus talboti","Talbot's blenny","Talbot's blenny"
"2243","Praealticus tanegasimae","null","null"
"2244","Ecsenius namiyei","Black comb-tooth","Black comb-tooth"
"2245","Istiblennius lineatus","Lined rockskipper","Lined rockskipper"
"2246","Petroscirtes springeri","null","null"
"2247","Entomacrodus sealei","Seale's rockskipper","Seale's rockskipper"
"2248","Ecsenius randalli","null","null"
"2249","Ecsenius lineatus","Linear blenny","Linear blenny"
"2250","Ecsenius midas","Persian blenny","Persian blenny"
"2251","Istiblennius unicolor","Pallid rockskipper","Pallid rockskipper"
"2252","Ecsenius tricolor","Tricolor coralblenny","Tricolor coralblenny"
"2253","Ecsenius fourmanoiri","Blackstriped combtooth blenny","Blackstriped combtooth blenny"
"2254","Praealticus natalis","Natal rockskipper","Natal rockskipper"
"2255","Aspidontus taeniatus","False cleanerfish","False cleanerfish"
"2256","Ecsenius melarchus","Yellow-eyed comb-tooth","Yellow-eyed comb-tooth"
"2257","Cirripectes imitator","Imitator blenny","Imitator blenny"
"2258","Salarias ramosus","Starry blenny","Starry blenny"
"2259","Entomacrodus lemuria","null","null"
"2260","Mimoblennius lineathorax","null","null"
"2261","Salarias segmentatus","Segmented blenny","Segmented blenny"
"2262","Laiphognathus multimaculatus","Spotty blenny","Spotty blenny"
"2263","Plagiotremus tapeinosoma","Piano fangblenny","Piano fangblenny"
"2264","Meiacanthus vittatus","One-striped fangblenny","One-striped fangblenny"
"2265","Meiacanthus nigrolineatus","Blackline fangblenny","Blackline fangblenny"
"2266","Meiacanthus urostigma","Tailspot fangblenny","Tailspot fangblenny"
"2267","Omobranchus banditus","Bandit blenny","Bandit blenny"
"2268","Entomacrodus epalzeocheilos","Fringelip rockskipper","Fringelip rockskipper"
"2269","Ecsenius bicolor","Bicolor blenny","Bicolor blenny"
"2270","Plagiotremus spilistius","null","null"
"2271","Entomacrodus decussatus","Wavy-lined blenny","Wavy-lined blenny"
"2272","Plagiotremus goslinei","Biting blenny","Biting blenny"
"2273","Petroscirtes lupus","Wolf fangbelly","Wolf fangbelly"
"2274","Meiacanthus crinitus","Hairytail fangblenny","Hairytail fangblenny"
"2275","Cirripectes variolosus","Red-speckled blenny","Red-speckled blenny"
"2276","Andamia reyi","Suckerlip blenny","Suckerlip blenny"
"2277","Laiphognathus longispinis","Crown spotty blenny","Crown spotty blenny"
"2278","Rhabdoblennius nigropunctatus","null","null"
"2279","Plagiotremus phenax","Imposter fangblenny","Imposter fangblenny"
"2280","Entomacrodus textilis","Textile blenny","Textile blenny"
"2281","Meiacanthus fraseri","null","null"
"2282","Blenniella gibbifrons","Hump-headed blenny","Hump-headed blenny"
"2283","Cirripectes springeri","Springer's blenny","Springer's blenny"
"2284","Atrosalarias hosokawai","Hosokawa's coral blenny","Hosokawa's coral blenny"
"2285","Cirripectes quagga","Squiggly blenny","Squiggly blenny"
