am_sid,lim,sciname,reviewed
Fis-119366,e_lim,Chlorurus oedema,null
Fis-119482,e_lim,Hymenocephalus torvus,null
Fis-120202,e_lim,Cephaloscyllium umbratile,null
Fis-120888,e_lim,Pseudoscopelus sagamianus,null
Fis-121574,e_lim,Callionymus pleurostictus,null
Fis-121644,e_lim,Pseudogramma pectoralis,null
Fis-122026,e_lim,Acentronura breviperula,null
Fis-122288,e_lim,Platycephalus fuscus,null
Fis-123048,e_lim,Plectorhinchus lessonii,null
Fis-123779,e_lim,Allenbatrachus grunniens,null
Fis-123824,e_lim,Callionymus brevianalis,null
Fis-123968,e_lim,Enchelybrotula paucidens,null
Fis-124123,e_lim,Gymnothorax mccoskeri,null
Fis-124132,e_lim,Gymnothorax minor,null
Fis-124148,e_lim,Gymnothorax randalli,null
Fis-124298,e_lim,Plesiops gracilis,null
Fis-124392,e_lim,Lepidotrigla annamarae,null
Fis-124394,e_lim,Lepidotrigla musorstom,null
Fis-124396,e_lim,Lepidotrigla nana,null
Fis-124406,e_lim,Pterygotrigla robertsi,null
Fis-124410,e_lim,Dactyloptena tiltoni,null
Fis-124414,e_lim,Dactyloptena macracantha,null
Fis-124778,e_lim,Gazza dentex,null
Fis-124925,e_lim,Bembras macrolepis,null
Fis-124926,e_lim,Bembras longipinnis,null
Fis-125488,e_lim,Alabes dorsalis,null
Fis-125703,e_lim,Cepola australis,null
Fis-125708,e_lim,Lesueurina platycephala,null
Fis-125713,e_lim,Cristiceps australis,null
Fis-125728,e_lim,Paramonacanthus otisensis,null
Fis-125744,e_lim,Enneapterygius bahasa,null
Fis-125747,e_lim,Enneapterygius clea,null
Fis-125769,e_lim,Enneapterygius pallidoserialis,null
Fis-125773,e_lim,Enneapterygius rhothion,null
Fis-125775,e_lim,Enneapterygius rubicauda,null
Fis-125782,e_lim,Enneapterygius unimaculatus,null
Fis-125788,e_lim,Helcogramma fuscipectoris,null
Fis-125897,e_lim,Maurolicus javanicus,null
Fis-125906,e_lim,Galeus gracilis,null
Fis-126098,e_lim,Conocara kreffti,null
Fis-126141,e_lim,Choerodon zosterophorus,null
Fis-126189,e_lim,Gymnothorax robinsi,null
Fis-126611,e_lim,Coelorinchus cingulatus,null
Fis-126614,e_lim,Coelorinchus commutabilis,null
Fis-126623,e_lim,Coelorinchus macrorhynchus,null
Fis-126627,e_lim,Coelorinchus notatus,null
Fis-126630,e_lim,Coelorinchus platorhynchus,null
Fis-126636,e_lim,Coelorinchus radcliffei,null
Fis-126639,e_lim,Coelorinchus sexradiatus,null
